Hamd, âlemlerin Rabbi olan Allah'a mahsustur.	, 	Fâtiha, 2
O, hanginizin daha güzel amel yapacağını sınamak için ölümü ve hayatı yaratandır.	, 	Mülk, 2
Dinde zorlama yoktur. Doğru eğriden açıkça ayrılmıştır.	, 	Bakara, 256
Ey iman edenler! Sabrederek ve namaz kılarak Allah’tan yardım dileyin.	, 	Bakara, 153
Bilesiniz ki, kalpler ancak Allah'ı anmakla huzur bulur.	, 	Ra'd, 28
Şüphesiz her güçlükle beraber bir kolaylık vardır.	, 	İnşirah, 5
İnsan için ancak çalıştığının karşılığı vardır.	, 	Necm, 39
Allah, hiç kimseye gücünün üstünde bir şey yüklemez.	, 	Bakara, 286
Biz insanı en güzel biçimde yarattık.	, 	Tîn, 4
Rabbim! İlmimi artır, de.	, 	Tâhâ, 114
Şüphesiz Allah, adaleti, iyilik yapmayı, yakınlara yardım etmeyi emreder.	, 	Nahl, 90
Yeryüzünde böbürlenerek yürüme. Çünkü sen yeri yaramaz ve boyca da dağlara erişemezsin.	, 	İsrâ, 37
Eğer şükrederseniz, elbette size nimetimi artırırım.	, 	İbrâhîm, 7
De ki: 'Hiç bilenlerle bilmeyenler bir olur mu?'	, 	Zümer, 9
Onlar, bollukta da darlıkta da Allah için harcarlar; öfkelerini yutarlar.	, 	Âl-i İmrân, 134
Her nefis ölümü tadacaktır. Sonra bize döndürüleceksiniz.	, 	Ankebût, 57
Allah, size kolaylık diler, zorluk dilemez.	, 	Bakara, 185
Affet, iyiliği emret, cahillerden yüz çevir.	, 	A'râf, 199
Kuşkusuz biz her şeyi bir ölçüye göre yarattık.	, 	Kamer, 49
Şüphesiz namaz, hayasızlıktan ve kötülükten alıkoyar.	, 	Ankebût, 45
Size bir selâm verildiği zaman, ondan daha güzeliyle karşılık verin.	, 	Nisâ, 86
Allah, size yardım ederse, sizi yenecek yoktur.	, 	Âl-i İmrân, 160
Nerede olursanız olun, O sizinle beraberdir.	, 	Hadîd, 4
Duanız olmasa Rabbim size ne diye değer versin?	, 	Furkân, 77
Allah sabredenleri sever.	, 	Âl-i İmrân, 146
Gevşemeyin, hüzünlenmeyin. Eğer iman etmişseniz üstün olan sizsiniz.	, 	Âl-i İmrân, 139
Yalnız sana ibadet eder ve yalnız senden yardım dileriz.	, 	Fâtiha, 5
Allah'ın izni olmadan hiçbir musibet isabet etmez.	, 	Tegâbun, 11
İyilikle kötülük bir olmaz. Kötülüğü en güzel bir şekilde sav.	, 	Fussilet, 34
İman edip salih ameller işleyenler ise cennetliklerdir.	, 	Bakara, 82
Göklerde ve yerde ne varsa hepsi Allah'ındır.	, 	Bakara, 284
Doğru yola iletmek Allah'a aittir.	, 	Nahl, 9
Rabbim, göğsümü genişlet, işimi kolaylaştır.	, 	Tâhâ, 25-26
Hangi nimete kavuşursanız, o Allah’tandır.	, 	Nahl, 53
Sabret! Çünkü Allah iyilik yapanların mükafatını zayi etmez.	, 	Hûd, 115
Allah, iman edenlerin dostudur.	, 	Bakara, 257
Verdiğiniz sözü yerine getirin. Çünkü verilen söz sorumluluk gerektirir.	, 	İsrâ, 34
İyilik ve takva üzere yardımlaşın.	, 	Mâide, 2
Ey Rabbimiz! Bize dünyada da iyilik ver, ahirette de iyilik ver.	, 	Bakara, 201
Kim Allah'a tevekkül ederse, O ona yeter.	, 	Talâk, 3
Allah her şeye şahittir.	, 	Hac, 17
O, her an yeni bir iştedir.	, 	Rahmân, 29
Ey iman edenler! Allah'ı çokça zikredin.	, 	Ahzâb, 41
Siz beni anın, ben de sizi anayım.	, 	Bakara, 152
Şüphesiz Allah tevbe edenleri sever, temizlenenleri de sever.	, 	Bakara, 222
Allah, güzel davrananları sever.	, 	Mâide, 93
Doğrularla beraber olun.	, 	Tevbe, 119
Birbirinizin kusurunu araştırmayın.	, 	Hucurât, 12
Öfkesini yutanları Allah sever.	, 	Âl-i İmrân, 134
Kullarıma söyle: En güzel olanı konuşsunlar.	, 	İsrâ, 53
Şüphesiz O, rızık verenlerin en hayırlısıdır.	, 	Cum'a, 11
Allah dilediğine rızkı bol verir, dilediğine de kısar.	, 	Ra'd, 26
Sana gelen her iyilik Allah'tandır.	, 	Nisâ, 79
Mü'minler ancak kardeştirler.	, 	Hucurât, 10
Gözler O'nu göremez; O ise bütün gözleri görür.	, 	En'âm, 103
Kendi nefsinizi temize çıkarmayın.	, 	Necm, 32
Deki: Rabbim her şeyi ilmiyle kuşatmıştır.	, 	En'âm, 80
Zulmedenlere meyletmeyin; yoksa size de ateş dokunur.	, 	Hûd, 113
O, dilediğini yapandır.	, 	Burûc, 16
Şüphesiz benim Rabbim yakındır, duaları kabul edendir.	, 	Hûd, 61
Göklerin ve yerin mülkü Allah’ındır. O, dilediğini yaratır.	, 	Şûrâ, 49
Şüphesiz Allah, kendisine karşı gelmekten sakınanlar ve iyilik yapanlarla beraberdir.	, 	Nahl, 128
İyiliğin karşılığı, yalnız iyilik değil midir?	, 	Rahmân, 60
Rabbinin nimetini minnet ve şükranla an.	, 	Duhâ, 11
Allah, mühlet verir fakat ihmal etmez.	, 	Hac, 44 (Meal Tefsiri)
Kim bir kötülük yapar veya kendine zulmeder de sonra Allah’tan bağışlanma dilerse, Allah’ı çok bağışlayıcı ve çok merhametli bulur.	, 	Nisâ, 110
Sana şah damarından daha yakınız.	, 	Kâf, 16
